Exercise,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,Posture,Single or Double Arm,Continuous or Alternating  ,Grip
Single Arm Kettlebell Push Jerk,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Minimus,Kettlebell,Standing,Single Arm,Continuous,Pronated
Barbell Incline Bench Press,Novice,Chest,Pectoralis Major,Triceps Brachii,,Barbell,Seated,Double Arm,Continuous,Pronated
Double Kettlebell Tall Kneeling Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,Tall Kneeling,Double Arm,Continuous,Pronated
Double Dumbbell Incline Bench Prone Y Raise,Novice,Shoulders,Posterior Deltoids,,,Dumbbell,Prone,Double Arm,Continuous,Neutral
Suspension Face Pull to Overhead Press,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Suspension Trainer,Standing,Double Arm,Continuous,Pronated
Double Dumbbell Reverse Grip Bench Press,Novice,Chest,Pectoralis Major,,,Dumbbell,Supine,Double Arm,Continuous,Supinated
Single Arm Cable Seated Floor Lat Pulldown,Novice,Back,Latissimus Dorsi,Biceps Brachii,,Cable,Seated Floor,Single Arm,Continuous,Pronated
Double Dumbbell Suitcase Carry,Beginner,Forearms,Brachioradialis,,,Dumbbell,Walking,Double Arm,Continuous,Neutral
Single Arm Resistance Band Half Kneeling Cuban Press,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Upper Trapezius,Resistance Band,Half Kneeling,Single Arm,Continuous,Pronated
Double Dumbbell Cuban Press,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Upper Trapezius,Dumbbell,Standing,Double Arm,Continuous,Pronated
Double Kettlebell Pendlay Row,Novice,Back,Latissimus Dorsi,Biceps Brachii,,Kettlebell,Standing,Double Arm,Continuous,Neutral
Double Kettlebell Half Kneeling Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,Half Kneeling,Double Arm,Continuous,Pronated
Single Arm Kettlebell Push Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,Standing,Single Arm,Continuous,Pronated
Double Kettlebell Push Jerk,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Minimus,Kettlebell,Standing,Double Arm,Continuous,Pronated
Double Dumbbell Glute Bridge Isometric Floor Press,Novice,Chest,Pectoralis Major,Triceps Brachii,Gluteus Maximus,Dumbbell,Bridge,Double Arm,Continuous,Pronated
Double Kettlebell Seesaw Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,Standing,Double Arm,Alternating,Pronated
Alternating Double Kettlebell Z Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Kettlebell,Seated Floor,Double Arm,Alternating,Pronated
Bodyweight Burpee,Intermediate,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Bodyweight,Standing,Double Arm,Continuous,Flat Palm
Double Dumbbell Devil Press,Advanced,Shoulders,Anterior Deltoids,Pectoralis Major,,Dumbbell,Standing,Double Arm,Continuous,Neutral
Alternating Single Arm Dumbbell Devil Press,Advanced,Shoulders,Anterior Deltoids,Pectoralis Major,,Dumbbell,Standing,Single Arm,Alternating,Neutral
Double Kettlebell Seesaw Z Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Kettlebell,Seated Floor,Double Arm,Alternating,Pronated
Double Plate Lu Raise,Novice,Shoulders,Infraspinatus,Posterior Deltoids,,Weight Plate,Standing,Double Arm,Continuous,Other
Plate Steering Wheel,Novice,Shoulders,Anterior Deltoids,,,Weight Plate,Standing,Double Arm,Continuous,Neutral
Suspension Cuban Press,Novice,Shoulders,Posterior Deltoids,Triceps Brachii,,Suspension Trainer,Standing,Double Arm,Continuous,Pronated
Barbell Decline Bench Press,Novice,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Barbell,Supine,Double Arm,Continuous,Pronated
Kettlebell Half Kneeling Alternating Halo,Novice,Shoulders,Posterior Deltoids,Medial Deltoids,,Kettlebell,Half Kneeling,Double Arm,Continuous,Bottoms Up Horn Grip
Kettlebell Tall Kneeling Alternating Halo,Novice,Shoulders,Posterior Deltoids,Medial Deltoids,,Kettlebell,Tall Kneeling,Double Arm,Continuous,Bottoms Up Horn Grip
Bodyweight Rolling Squat Burpee,Advanced,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Bodyweight,Standing,Double Arm,Continuous,Flat Palm
Kettlebell Tall Kneeling Alternating Hip to Halo,Novice,Shoulders,Posterior Deltoids,Medial Deltoids,,Kettlebell,Tall Kneeling,Double Arm,Continuous,Bottoms Up Horn Grip
Barbell Seated Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,Seated,Double Arm,Continuous,Pronated
Dumbbell Crush Grip Z Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Dumbbell,Seated Floor,Double Arm,Continuous,Crush Grip
Barbell Half Kneeling Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,Half Kneeling,Double Arm,Continuous,Pronated
Barbell Tall Kneeling Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,Tall Kneeling,Double Arm,Continuous,Pronated
Barbell Inverted Row,Novice,Back,Latissimus Dorsi,Biceps Brachii,,Barbell,Supine,Double Arm,Continuous,Pronated
Ring Row,Novice,Back,Latissimus Dorsi,Biceps Brachii,,Gymnastic Rings,Supine,Double Arm,Continuous,Neutral
Slider Single Arm Kettlebell Suitcase Ipsilateral Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Single Arm,Continuous,Neutral
Slider Single Arm Kettlebell Front Rack Contralateral Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Single Arm,Continuous,Neutral
Ring Bulgarian Row,Novice,Back,Latissimus Dorsi,Biceps Brachii,,Gymnastic Rings,Supine,Double Arm,Continuous,Pronated
Alternating Double Kettlebell Rotational Overhead Press,Novice,Shoulders,Anterior Deltoids,,,Kettlebell,Standing,Double Arm,Alternating,Neutral
Alternating Double Kettlebell Push Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,Standing,Double Arm,Alternating,Pronated
Cable Tall Kneeling Face Pull,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Cable,Tall Kneeling,Double Arm,Continuous,Neutral
Macebell Ballistic Curl,Novice,Biceps,Biceps Brachii,,,Macebell,Standing,Double Arm,Alternating,Mixed Grip
Single Arm Indian Club Outer Heart Shaped Swing,Novice,Shoulders,Posterior Deltoids,,,Indian Club,Standing,Single Arm,Continuous,Neutral
Single Arm Clubbell Pullover,Novice,Back,Latissimus Dorsi,Posterior Deltoids,Triceps Brachii,Clubbell,Standing,Single Arm,Continuous,Neutral
Double Clubbell Pullover,Novice,Back,Latissimus Dorsi,Posterior Deltoids,Triceps Brachii,Clubbell,Standing,Double Arm,Continuous,Neutral
Clubbell Pullover,Novice,Back,Latissimus Dorsi,Posterior Deltoids,Triceps Brachii,Clubbell,Standing,Double Arm,Continuous,Neutral
Clubbell Front Flag Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Clubbell,Standing,Double Arm,Continuous,Neutral
Single Arm Indian Club Inner Heart Shaped Swing,Novice,Shoulders,Posterior Deltoids,,,Indian Club,Standing,Single Arm,Continuous,Neutral
Single Arm Ring Dead Hang,Novice,Forearms,Brachioradialis,Latissimus Dorsi,Teres Major,Gymnastic Rings,Hanging,Single Arm,Continuous,Pronated
Single Arm Dumbbell Suitcase Deadlift,Novice,Back,Latissimus Dorsi,Latissimus Dorsi,,Dumbbell,Standing,Single Arm,Continuous,Neutral
Slider Single Arm Kettlebell Front Rack Ipsilateral Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Latissimus Dorsi,Biceps Femoris,Sliders,Standing,Single Arm,Continuous,Neutral
Clubbell Torch Press,Novice,Shoulders,Anterior Deltoids,Latissimus Dorsi,,Clubbell,Standing,Double Arm,Continuous,Neutral
Single Arm Clubbell Torch Press,Novice,Shoulders,Anterior Deltoids,Latissimus Dorsi,,Clubbell,Standing,Single Arm,Continuous,Neutral
Double Clubbell Torch Press,Novice,Shoulders,Anterior Deltoids,Latissimus Dorsi,,Clubbell,Standing,Double Arm,Continuous,Neutral
Barbell Conventional Deadlift,Novice,Back,Latissimus Dorsi,Latissimus Dorsi,,Barbell,Standing,Double Arm,Continuous,Pronated
Barbell Sumo Deadlift,Novice,Back,Latissimus Dorsi,Gluteus Maximus,Biceps Femoris,Barbell,Standing,Double Arm,Continuous,Pronated
Barbell Rack Pull,Novice,Back,Latissimus Dorsi,,,Barbell,Standing,Double Arm,Continuous,Pronated
Barbell Snatch Grip Deadlift,Intermediate,Back,Latissimus Dorsi,,,Barbell,Standing,Double Arm,Continuous,Pronated
Alternating Double Clubbell Torch Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Clubbell,Standing,Double Arm,Alternating,Neutral
Stability Ball Hyperextension,Novice,Back,Erector Spinae ,,,Stability Ball,Prone,Double Arm,Continuous,Head Supported
Barbell Seated Good Morning ,Intermediate,Back,Erector Spinae ,Gluteus Maximus,Biceps Femoris,Barbell,Seated,Double Arm,Continuous,Pronated
Barbell Good Morning,Intermediate,Back,Erector Spinae ,Gluteus Maximus,Biceps Femoris,Barbell,Standing,Double Arm,Continuous,Pronated
Bodyweight Wall Sit ,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,Wall Sit,No Arms,Continuous,No Grip
Bodyweight Wall Slide Squat,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,Standing,No Arms,Continuous,No Grip
Stability Ball Wall Slide Squat,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Stability Ball,Standing,No Arms,Continuous,No Grip
Suspension Squat,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Suspension Trainer,Standing,Double Arm,Continuous,Neutral
Suspension Alternating Reverse Lunge,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Suspension Trainer,Standing,Double Arm,Continuous,Neutral
Bodyweight Squat to Bench,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,Standing,No Arms,Continuous,No Grip
Bodyweight Squat,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,Standing,No Arms,Continuous,No Grip
Bodyweight Hand Assisted Split Squat,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bodyweight,Split Squat,Single Arm,Continuous,Hand Assisted
Bodyweight Walking Lunge,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bodyweight,Walking,No Arms,Continuous,No Grip
Dumbbell Goblet Squat ,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,Standing,Double Arm,Continuous,Goblet
Miniband Romanian Deadlift,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,Erector Spinae,Miniband,Standing,Double Arm,Continuous,Pronated
Superband Resisted Skater Jump,Intermediate,Abductors,Gluteus Medius,Gluteus Maximus,,Superband,Single Leg Standing,No Arms,Continuous,No Grip
Cable Prone Single Leg Hamstring Curl,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,,Cable,Prone,No Arms,Continuous,No Grip
Bodyweight Candlestick Roll Up Tuck Jump,Intermediate,Glutes,Gluteus Maximus,,,Bodyweight,Standing,No Arms,Continuous,No Grip
Single Arm Clubbell Front Flag Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Clubbell,Standing,Single Arm,Continuous,Neutral
Double Clubbell Front Flag Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Clubbell,Standing,Double Arm,Continuous,Neutral
Barbell Block Pull Deadlift,Novice,Back,Latissimus Dorsi,,,Barbell,Standing,Double Arm,Continuous,Pronated
Barbell Box Back Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,Standing,Double Arm,Continuous,Pronated
Barbell Deficit Deadlift,Intermediate,Back,Latissimus Dorsi,,,Barbell,Standing,Double Arm,Continuous,Pronated
Barbell Front Rack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,Standing,Double Arm,Continuous,Pronated
Barbell Glute Bridge,Novice,Glutes,Gluteus Maximus,Biceps Femoris,Erector Spinae,Barbell,Bridge,Double Arm,Continuous,Pronated
Barbell Halting Deadlift,Novice,Back,Latissimus Dorsi,,,Barbell,Standing,Double Arm,Continuous,Pronated
Barbell High Bar Back Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,Standing,Double Arm,Continuous,Pronated
Barbell Low Bar Back Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,Standing,Double Arm,Continuous,Pronated
Alternating Double Clubbell Front Flag Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Clubbell,Standing,Double Arm,Alternating,Neutral
Barbell Power Clean,Expert,Glutes,Gluteus Maximus,Biceps Femoris,,Barbell,Standing,Double Arm,Continuous,Pronated
Barbell Power Snatch,Expert,Glutes,Gluteus Maximus,Anterior Deltoids ,,Barbell,Standing,Double Arm,Continuous,Pronated
Double Indian Club Lateral Internal and External Rotations,Novice,Shoulders,Posterior Deltoids,,,Indian Club,Standing,Double Arm,Continuous,Neutral
Barbell Romanian Deadlift,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,Erector Spinae,Barbell,Standing,Double Arm,Continuous,Pronated
Single Arm Indian Club Lateral Internal and External Rotation,Novice,Shoulders,Posterior Deltoids,,,Indian Club,Standing,Single Arm,Continuous,Neutral
Barbell Back Rack Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,Split Squat,Double Arm,Continuous,Pronated
Barbell Stiff Legged Deadlift,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Barbell,Standing,Double Arm,Continuous,Pronated
Barbell Sumo Back Squat,Novice,Glutes,Gluteus Maximus,Quadriceps Femoris,,Barbell,Standing,Double Arm,Continuous,Pronated
Bodyweight Pistol Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,Single Leg Standing,No Arms,Continuous,No Grip
Bodyweight Skater Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,Single Leg Standing,No Arms,Continuous,No Grip
Cable Pull Through,Beginner,Glutes,Gluteus Maximus,,,Cable,Standing,Double Arm,Continuous,Neutral
Double Dumbbell Suitcase Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,Single Leg Supported,Double Arm,Continuous,Neutral
Double Dumbbell Suitcase Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,Standing,Double Arm,Continuous,Neutral
Double Dumbbell Suitcase Deficit Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,Split Squat,Double Arm,Continuous,Neutral
Double Dumbbell Suitcase Alternating Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,Standing,Double Arm,Continuous,Neutral
Double Dumbbell Suitcase Alternating Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,Standing,Double Arm,Continuous,Neutral
Double Indian Club Overhead Arm Circles,Novice,Shoulders,Lateral Deltoids,,,Indian Club,Standing,Double Arm,Continuous,Neutral
Double Dumbbell Suitcase Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,Split Squat,Double Arm,Continuous,Neutral
Double Dumbbell Front Rack Alternating Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,Standing,Double Arm,Continuous,Neutral
Bodyweight Face the Wall Squat,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,Standing,No Arms,Continuous,No Grip
Bodyweight Feet Elevated Glute Bridge,Novice,Glutes,Gluteus Maximus,Biceps Femoris,Erector Spinae,Bodyweight,Bridge,No Arms,Continuous,No Grip
Slider Single Arm Kettlebell Bottoms Up Front Rack Contralateral Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Single Arm,Continuous,Bottoms Up
Slider Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Single Arm,Continuous,Bottoms Up
Slider Single Arm Kettlebell Overhead Contralateral Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Single Arm,Continuous,Pronated
Slider Single Arm Kettlebell Overhead Ipsilateral Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Single Arm,Continuous,Pronated
Slider Single Arm Kettlebell Bottoms Up Overhead Contralateral Reverse Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Single Arm,Continuous,Bottoms Up
Slider Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Reverse Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Single Arm,Continuous,Bottoms Up
Slider Kettlebell Goblet Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Double Arm,Continuous,Goblet
Miniband Thigh Monster Walk,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,Walking,No Arms,Continuous,No Grip
Bodyweight Quadruped Hip Extension,Beginner,Glutes,Gluteus Maximus,,,Bodyweight,Quadruped,Double Arm,Continuous,Flat Palm
Suspension Pistol Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Suspension Trainer,Single Leg Standing,Double Arm,Continuous,Neutral
Suspension Skater Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Suspension Trainer,Single Leg Standing,Double Arm,Continuous,Neutral
Bodyweight Tuck Jump,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,Standing,No Arms,Continuous,No Grip
Bodyweight Alternating Single Leg Wall Sit,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,Standing,No Arms,Continuous,No Grip
Bodyweight Single Leg Romanian Deadlift Jump,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,Obliques,Bodyweight,Single Leg Standing,No Arms,Continuous,No Grip
Double Dumbbell Overhead Walking Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,Walking,Double Arm,Continuous,Neutral
Stability Ball Double Dumbbell Suitcase Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Stability Ball,Single Leg Supported,Double Arm,Continuous,Neutral
Bodyweight Reverse Nordic,Intermediate,Quadriceps,Quadriceps Femoris,,,Bodyweight,Tall Kneeling,No Arms,Continuous,No Grip
Bodyweight Alternating Lateral Bench Jump,Novice,Glutes,Gluteus Maximus,,,Bodyweight,Standing,No Arms,Continuous,No Grip
Single Arm Dumbbell Front Rack Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,Standing,Single Arm,Continuous,Neutral
Bodyweight Skater Jump,Intermediate,Abductors,Gluteus Medius,Quadriceps Femoris,Gluteus Maximus,Bodyweight,Single Leg Standing,No Arms,Continuous,No Grip
Slider Single Arm Dumbbell Front Rack Contralateral Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Single Arm,Continuous,Neutral
Cable Prone Bench Hamstring Curl,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Cable,Prone,No Arms,Continuous,No Grip
Bodyweight Bulgarian Split Squat Jump,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bodyweight,Single Leg Supported,No Arms,Continuous,No Grip
Cable Standing Single Leg Hamstring Curl,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Cable,Single Leg Standing,No Arms,Continuous,Hand Assisted
Bodyweight Nordic Hamstring Curl,Advanced,Hamstrings,Biceps Femoris,Gluteus Maximus,,Bodyweight,Tall Kneeling,No Arms,Continuous,No Grip
Superband Assisted Pistol Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Superband,Single Leg Standing,Double Arm,Continuous,Neutral
Slider Double Kettlebell Bottoms Up Front Rack Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Double Arm,Continuous,Bottoms Up
Double Dumbbell Front Rack Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,Standing,Double Arm,Continuous,Neutral
Double Dumbbell Suitcase Walking Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,Walking,Double Arm,Continuous,Neutral
Barbell Back Rack Walking Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,Walking,Double Arm,Continuous,Pronated
Bodyweight Box Pistol Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,Single Leg Standing,No Arms,Continuous,No Grip
Barbell Overhead Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,Standing,Double Arm,Continuous,Pronated
Slider Double Kettlebell Bottoms Up Overhead Reverse Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,Standing,Double Arm,Continuous,Bottoms Up
Landmine Goblet Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Landmine,Standing,Double Arm,Continuous,Goblet
Stability Ball Hamstring Curl,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Stability Ball,Supine,No Arms,Continuous,No Grip
Slider Hamstring Curl,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Sliders,Supine,No Arms,Continuous,No Grip
Bodyweight Hamstring Walkout ,Novice,Hamstrings,Biceps Femoris,Gluteus Maximus,,Bodyweight,Bridge,No Arms,Continuous,No Grip
