Exercise,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,Posture,Single or Double Arm,Continuous or Alternating  ,Grip
EZ Bar Reverse Grip Bicep Curl,Novice,Forearms,Brachioradialis,Biceps Brachii,Brachialis,EZ Bar,Standing,Double Arm,Continuous,Pronated
Stability Ball Single Arm Dumbbell Chest Press,Novice,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Stability Ball,Supine,Single Arm,Continuous,Pronated
Suspension Face Pull,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Suspension Trainer,Standing,Double Arm,Continuous,Pronated
Landmine V Grip Row,Novice,Back,Latissimus Dorsi,,,Landmine,Standing,Double Arm,Continuous,Neutral
Double Dumbbell Thruster,Novice,Quadriceps,Quadriceps Femoris,Anterior Deltoids,,Dumbbell,Standing,Double Arm,Continuous,Neutral
Single Arm Dumbbell Thruster,Novice,Quadriceps,Quadriceps Femoris,Anterior Deltoids,,Dumbbell,Standing,Single Arm,Continuous,Neutral
Single Arm Landmine Row,Novice,Back,Latissimus Dorsi,,,Landmine,Standing,Single Arm,Continuous,Neutral
Superband Assisted Bar Pull Up,Novice,Back,Latissimus Dorsi,,,Superband,Hanging,Double Arm,Continuous,Pronated
Stability Ball Prone Cobra,Novice,Back,Erector Spinae ,,,Stability Ball,Prone,Double Arm,Continuous,No Grip
Single Arm Dumbbell Overhead Carry,Intermediate,Shoulders,Anterior Deltoids,Obliques,,Dumbbell,Walking,Single Arm,Continuous,Neutral
Double Dumbbell Pendlay Row,Novice,Back,Latissimus Dorsi,,,Dumbbell,Standing,Double Arm,Continuous,Neutral
Cable Straight Bar Pullover,Novice,Back,Latissimus Dorsi,,,Cable,Standing,Double Arm,Continuous,Pronated
Single Arm Cable Half Kneeling Lat Pulldown,Novice,Back,Latissimus Dorsi,,,Cable,Half Kneeling,Single Arm,Continuous,Neutral
Single Arm Cable Half Kneeling Low Row,Novice,Back,Latissimus Dorsi,,,Cable,Half Kneeling,Single Arm,Continuous,Neutral
Single Arm Suspension Low Row,Novice,Back,Latissimus Dorsi,Biceps Brachii,,Suspension Trainer,Standing,Single Arm,Continuous,Neutral
Double Dumbbell Incline Bench Prone Row,Novice,Back,Latissimus Dorsi,,,Dumbbell,Prone,Double Arm,Continuous,Neutral
Barbell Pendlay Row,Novice,Back,Latissimus Dorsi,,,Barbell,Standing,Double Arm,Continuous,Pronated
Barbell Bench Press,Novice,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Barbell,Supine,Double Arm,Continuous,Pronated
Cable Single Leg Standing Bent Knee Hip External Rotation,Novice,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Cable,Single Leg Standing Bent Knee,No Arms,Continuous,Hand Assisted
Cable Hip Rotation,Novice,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Cable,Standing,No Arms,Continuous,Neutral
Barbell Bicep Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Barbell,Standing,Double Arm,Continuous,Supinated
Barbell Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,Standing,Double Arm,Continuous,Pronated
Barbell Push Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,Standing,Double Arm,Continuous,Pronated
Barbell Bent Over Row,Novice,Back,Latissimus Dorsi,Rhomboids,Posterior Deltoids,Barbell,Standing,Double Arm,Continuous,Pronated
Single Arm Landmine Meadows Row,Novice,Back,Latissimus Dorsi,,,Landmine,Standing,Single Arm,Continuous,Pronated
Cable Straight Bar Seated Bicep Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable,Seated,Double Arm,Continuous,Supinated
Cable Rope Skull Crusher,Novice,Triceps,Triceps Brachii,Anconeus,Flexor Carpi Radialis,Cable,Supine,Double Arm,Continuous,Neutral
Single Arm Dumbbell Seated Cuban Press,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell,Seated,Single Arm,Continuous,Pronated
Bodyweight Wall Facing Handstand,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight,Inverted,Double Arm,Continuous,Flat Palm
Parallette Close Grip Push Up,Novice,Triceps,Triceps Brachii,Pectoralis Major,,Parallette Bars,Prone,Double Arm,Continuous,Pronated
Parallette Wide Push Up,Novice,Chest,Pectoralis Major,,,Parallette Bars,Prone,Double Arm,Continuous,Neutral
Barbell Front Raise,Novice,Shoulders,Anterior Deltoids,Pectoralis Major,Biceps Brachii,Barbell,Standing,Double Arm,Continuous,Pronated
Single Arm Cable Front Raise,Novice,Shoulders,Anterior Deltoids,Pectoralis Major,Biceps Brachii,Cable,Standing,Single Arm,Continuous,Pronated
Parallette Side Plank,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Parallette Bars,Side Plank,Single Arm,Continuous,Neutral
Cable Straight Bar Front Raise,Novice,Shoulders,Anterior Deltoids,Pectoralis Major,Biceps Brachii,Cable,Standing,Double Arm,Continuous,Pronated
Barbell Close Grip Bench Press,Novice,Triceps,Triceps Brachii,Pectoralis Major,,Barbell,Supine,Double Arm,Continuous,Pronated
Single Arm Cable Bicep Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable,Standing,Single Arm,Continuous,Supinated
Single Arm Cable Shotgun Row,Novice,Back,Latissimus Dorsi,Biceps Brachii,,Cable,Staggered Stance,Single Arm,Continuous,Pronated
Cable Half Kneeling Face Pull,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Cable,Half Kneeling,Double Arm,Continuous,Neutral
Stability Ball Double Dumbbell W Raise,Novice,Shoulders,Posterior Deltoids,,,Stability Ball,Prone,Double Arm,Continuous,Pronated
Single Arm Kettlebell Bent Over Row,Novice,Back,Latissimus Dorsi,Rhomboids,Posterior Deltoids,Kettlebell,Standing,Single Arm,Continuous,Neutral
Double Kettlebell Gorilla Row,Novice,Back,Latissimus Dorsi,,,Kettlebell,Standing,Double Arm,Alternating,Neutral
Kettlebell Alternating Halo,Novice,Shoulders,Posterior Deltoids,Medial Deltoids,,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up Horn Grip
Single Arm Kettlebell Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,Standing,Single Arm,Continuous,Pronated
Kettlebell Horn Grip Bicep Curl,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Kettlebell,Standing,Double Arm,Continuous,Horn Grip
Double Dumbbell Prone Row,Novice,Back,Latissimus Dorsi,,,Dumbbell,Prone,Double Arm,Continuous,Neutral
Double Kettlebell Z Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Kettlebell,Seated Floor,Double Arm,Continuous,Pronated
Double Kettlebell Push Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,Standing,Double Arm,Continuous,Pronated
Barbell Prone Row,Novice,Back,Latissimus Dorsi,,,Barbell,Prone,Double Arm,Continuous,Pronated
Single Arm Dumbbell Cuban Press,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell,Standing,Single Arm,Continuous,Pronated
